flap_setting,gross_weight_lbs,pressure_alt_ft,temp_F,headwind_kt,ground_roll_ft_unfactored
DOWN,55000,8000,59,10,3425
DOWN,55000,8000,59,20,3020
DOWN,55000,8000,59,30,2680
DOWN,55000,8000,59,40,2380
DOWN,55000,8000,90,0,4080
DOWN,55000,8000,90,10,3605
DOWN,55000,8000,90,20,3180
DOWN,55000,8000,90,30,2820
DOWN,55000,8000,90,40,2505
DOWN,55000,8000,120,0,4270
DOWN,55000,8000,120,10,3780
DOWN,55000,8000,120,20,3340
DOWN,55000,8000,120,30,2960
DOWN,55000,8000,120,40,2630
UP,55000,0,20,0,3860
UP,55000,0,20,10,3480
UP,55000,0,20,20,3150
UP,55000,0,20,30,2870
UP,55000,0,20,40,2620
UP,55000,0,59,0,4160
UP,55000,0,59,10,3750
UP,55000,0,59,20,3395
UP,55000,0,59,30,3080
UP,55000,0,59,40,2815
UP,55000,0,90,0,4420
UP,55000,0,90,10,3990
UP,55000,0,90,20,3615
UP,55000,0,90,30,3280
UP,55000,0,90,40,3000
UP,55000,0,120,0,4650
UP,55000,0,120,10,4200
UP,55000,0,120,20,3800
UP,55000,0,120,30,3450
UP,55000,0,120,40,3160
UP,55000,4000,20,0,4420
UP,55000,4000,20,10,3990
UP,55000,4000,20,20,3615
UP,55000,4000,20,30,3280
UP,55000,4000,20,40,3000
UP,55000,4000,59,0,4750
UP,55000,4000,59,10,4295
UP,55000,4000,59,20,3900
UP,55000,4000,59,30,3545
UP,55000,4000,59,40,3240
UP,55000,4000,90,0,5040
UP,55000,4000,90,10,4560
UP,55000,4000,90,20,4140
UP,55000,4000,90,30,3765
UP,55000,4000,90,40,3440
UP,55000,4000,120,0,5310
UP,55000,4000,120,10,4810
UP,55000,4000,120,20,4370
UP,55000,4000,120,30,3970
UP,55000,4000,120,40,3625
UP,55000,8000,20,0,5260
UP,55000,8000,20,10,4810
UP,55000,8000,20,20,4370
UP,55000,8000,20,30,3970
UP,55000,8000,20,40,3625
UP,55000,8000,59,0,5630
UP,55000,8000,59,10,5150
UP,55000,8000,59,20,4670
UP,55000,8000,59,30,4250
UP,55000,8000,59,40,3885
UP,55000,8000,90,0,5940
UP,55000,8000,90,10,5440
UP,55000,8000,90,20,4930
UP,55000,8000,90,30,4490
UP,55000,8000,90,40,4105
UP,55000,8000,120,0,6240
UP,55000,8000,120,10,5720
UP,55000,8000,120,20,5190
UP,55000,8000,120,30,4720
UP,55000,8000,120,40,4310
DOWN,60000,0,20,0,3150
DOWN,60000,0,20,10,2770
DOWN,60000,0,20,20,2450
DOWN,60000,0,20,30,2170
DOWN,60000,0,20,40,1930
DOWN,60000,0,59,0,3390
DOWN,60000,0,59,10,2980
DOWN,60000,0,59,20,2640
DOWN,60000,0,59,30,2340
DOWN,60000,0,59,40,2090
DOWN,60000,0,90,0,3590
DOWN,60000,0,90,10,3160
DOWN,60000,0,90,20,2800
DOWN,60000,0,90,30,2480
DOWN,60000,0,90,40,2220
DOWN,60000,0,120,0,3780
DOWN,60000,0,120,10,3340
DOWN,60000,0,120,20,2960
DOWN,60000,0,120,30,2630
DOWN,60000,0,120,40,2360
DOWN,60000,4000,20,0,3590
DOWN,60000,4000,20,10,3170
DOWN,60000,4000,20,20,2800
DOWN,60000,4000,20,30,2480
DOWN,60000,4000,20,40,2220
DOWN,60000,4000,59,0,3850
DOWN,60000,4000,59,10,3410
DOWN,60000,4000,59,20,3025
DOWN,60000,4000,59,30,2690
DOWN,60000,4000,59,40,2410
DOWN,60000,4000,90,0,4060
DOWN,60000,4000,90,10,3600
DOWN,60000,4000,90,20,3190
DOWN,60000,4000,90,30,2840
DOWN,60000,4000,90,40,2545
DOWN,60000,4000,120,0,4250
DOWN,60000,4000,120,10,3770
DOWN,60000,4000,120,20,3340
DOWN,60000,4000,120,30,2970
DOWN,60000,4000,120,40,2660
DOWN,60000,8000,20,0,4200
DOWN,60000,8000,20,10,3700
DOWN,60000,8000,20,20,3270
DOWN,60000,8000,20,30,2920
DOWN,60000,8000,20,40,2615
DOWN,60000,8000,59,0,4480
DOWN,60000,8000,59,10,3950
DOWN,60000,8000,59,20,3490
DOWN,60000,8000,59,30,3120
DOWN,60000,8000,59,40,2800
DOWN,60000,8000,90,0,4700
DOWN,60000,8000,90,10,4150
DOWN,60000,8000,90,20,3670
DOWN,60000,8000,90,30,3280
DOWN,60000,8000,90,40,2945
DOWN,60000,8000,120,0,4900
DOWN,60000,8000,120,10,4330
DOWN,60000,8000,120,20,3830
DOWN,60000,8000,120,30,3425
DOWN,60000,8000,120,40,3075
UP,60000,4000,59,0,5570
UP,60000,4000,59,10,5045
UP,60000,4000,59,20,4590
UP,60000,4000,59,30,4200
UP,60000,4000,59,40,3855
UP,60000,4000,90,0,6150
UP,60000,4000,90,10,5585
UP,60000,4000,90,20,5045
UP,60000,4000,90,30,4670
UP,60000,4000,90,40,4295
UP,60000,4000,120,0,6720
UP,60000,4000,120,10,6120
UP,60000,4000,120,20,5595
UP,60000,4000,120,30,5155
UP,60000,4000,120,40,4735
UP,60000,8000,59,0,7180
UP,60000,8000,59,10,6545
UP,60000,8000,59,20,5995
UP,60000,8000,59,30,5515
UP,60000,8000,59,40,5090
UP,60000,8000,90,0,7905
UP,60000,8000,90,10,7230
UP,60000,8000,90,20,6635
UP,60000,8000,90,30,6115
UP,60000,8000,90,40,5655
UP,60000,8000,120,0,8600
UP,60000,8000,120,10,7885
UP,60000,8000,120,20,7250
UP,60000,8000,120,30,6695
UP,60000,8000,120,40,6205
